,Title,Published_date,Views,Likes,Comments,Month
214,Data Science: Pros and Cons,6/30/2019,4881,207,18,Jun
215,How I Got My First Data Science Internship (And How You Can Land One),6/21/2019,22883,1120,89,Jun
216,My Top 5 Data Science Internship Tips,6/15/2019,10929,456,19,Jun
217,Golf STATS: Strokes Gained Explained,6/7/2019,6272,133,28,Jun
218,Most Data Science Hopefuls Overlook This Important Skill,5/25/2019,596,44,5,May
219,What I Learned From My Three Degrees,5/17/2019,1200,59,12,May
220,I Wish I Had Known THIS Before Starting in Data Science,5/14/2019,25225,1052,67,May
221,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,5/5/2019,1179,40,2,May
222,Should You Learn R for Data Science?,4/25/2019,18798,522,69,Apr
223,Scrape Twitter Data in Python with Twitterscraper Module,4/18/2019,45400,840,337,Apr
224,Work From Home Data Scientist: Day in the Life,4/12/2019,27851,760,103,Apr
225,Where to Look for Data Science Jobs,3/29/2019,2950,118,9,Mar
226,Data Science: Startup vs. Large Corporation,3/21/2019,2004,72,4,Mar
227,"Data Science, Machine Learning, and AI: What's the Difference?",3/16/2019,5708,161,25,Mar
228,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,3/9/2019,4021,173,15,Mar
229,Why You DON'T Want to be a WFH Data Scientist,3/3/2019,760,32,12,Mar
230,Welcome To My Channel | Ken Jee | Data Science,3/3/2019,1345,34,8,Mar
231,Where YOU Should Start With Data Science Projects,2/19/2019,14150,299,17,Feb
232,Watch This Before Applying to Data Science Jobs,2/4/2019,1449,63,13,Feb
233,My Top 5 Data Science Resources for 2019,1/5/2019,3622,118,17,Jan
234,IT'S NOT TOO LATE TO LEARN CODE!,12/18/2018,803,36,6,Dec
235,The Best Way to Predict NBA Minutes Played,12/11/2018,3730,98,13,Dec
236,Demystifying Data Science Roles,11/30/2018,1101,52,5,Nov
237,How to Simulate NBA Games in Python,11/19/2018,16234,365,54,Nov
238,Should You Get A Masters in Data Science?,11/14/2018,20091,299,141,Nov
239,How I Became A Data Scientist From a Business Background,11/12/2018,6207,190,23,Nov
240,Predicting Season Long NBA Wins Using Multiple Linear Regression,7/10/2018,8058,180,17,Jul
241,Predicting Crypto-Currency Price Using RNN lSTM & GRU,11/18/2017,18212,283,41,Nov
